04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.6, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.2, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.3, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 17.9, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.6, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.2, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 17.9, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.6, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.9, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.8, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.2, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.8, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.2, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.2, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.8, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.1, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.8, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.1, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.8, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.4, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.1, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.8, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.2, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.2, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 17.9, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.6, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 17.9, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.5, amount = 10
04-12 20:22:37 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.9, amount = 10
04-12 20:22:37 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.2, amount = 10
04-12 20:22:37 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.9, amount = 10
